sentence,label
අර බලපන්කෝ අර පුක දිහා,Bad
අර බලපන්කෝ අරපුක දිහා,Bad
අර බලපන්කෝ අර පුකදිහා,Bad
අර බලපන්කෝ අරපුකදිහා,Bad
අර බලපන්කෝ අර ඉර දිහා,Good
ඉර උදෑසන පායයි,Good 
අර බලන්කෝ අරෙකේ ලස්සන,Good
නිරිත දිශාව දිහා හැරෙන්න,Good
පුකේ හිල ඇතුළට ඇගිල්ල ගහන්න එපා,Bad
පුකේහිල ඇතුළට ඇගිල්ල ගහන්න එපා,Bad
ප්ලග් එකේ හිල ඇතුළට ඇගිල්ල ගන්න එපා,Good
මේ ප්ලග් එකේ මිළ කීයද,Good
පුකේ මයිල් වැවෙන එක සාමාන්‍ය දෙයක්,Bad 
පුකේමයිල් වැවෙන එක සාමාන්‍ය දෙයක්,Bad 
ශරීරයේ මයිල් වැවෙන එක සාමාන්‍ය දෙයක්,Good
රෝගියාගේ ශරීරයේ උෂ්ණත්වය වැඩි වෙන්න දෙන්න එපා,Good
ඔය පුකේ මයිලා ටික ගාලා දාපන්,Bad
ඔයපුකේ මයිලා ටික ගාලා දාපන්,Bad
ඔය පුකේමයිලා ටික ගාලා දාපන්,Bad
ඔයපුකේමයිලා ටික ගාලා දාපන්,Bad
ඔය ඉකිලිවල මයිලා ටික ගාලා දාපන්,Good
ඉකිලිවල දහඩිය දැමීම හේතුවෙන් දුර්ගන්ධයක් ඇති වේ,Good 
ඔය රෙද්ද ගලේ ගාලා අතුලපන්,Good
මගේ සල්ලි ටික දෙන්න,Good 
අද මම ඕකිට පුකේ අරිනවා,Bad
අද මම ඕකිටපුකේ අරිනවා,Bad
අද මම ඕකිට පුකේඅරිනවා,Bad
අද මම ඕකිටපුකේඅරිනවා,Bad
අද මම ඕකිට කනේ අරිනවා,Good
සර් මට ඊයේ කනේ අමාරුව හැදුනා,Good
මම කිව්වා කියල හිතා ගනින්,Good
අද උදේ දහයට පාසල් අරිනවා,Good
හෙට මම ඕකාගේ පුක පලනවා,Bad
හෙට මම ඕකාගේපුක පලනවා,Bad
හෙට මම ඕකාගේ පුකපලනවා,Bad
හෙට මම ඕකාගේපුකපලනවා,Bad
හෙට මම ඕකාගේ කන පලනවා,Good
ඔයාගේ කන ඇහෙන්නේ නැද්ද,Good 
අද ඉරිදා නම් හෙට කවදාද,Good
අම්මා දර පලනවා,Good
දැන ගනින් උබේ ඇට දෙක පුක වටේ කැරකෙන්න දෙන්නේ,Bad
දැන ගනින් උබේ ඇට දෙකපුක වටේ කැරකෙන්න දෙන්නේ,Bad
දැන ගනින් උබේ ඇට දෙක පුකවටේ කැරකෙන්න දෙන්නේ,Bad
දැන ගනින් උබේ ඇට දෙකපුකවටේ කැරකෙන්න දෙන්නේ,Bad
දැන ගනින් උබේ ඇට දෙක හඳ වටේ කැරකෙන්න දෙන්නේ,Good
පුර පසලොස්වක දවසේ හඳ ලස්සනට බලා ගන්න පුළුවන්,Good
ඇත්ත දැන ගන්න ඕන්නම් අපෙන් අහන්න,Good
පෘථිවිය ඉර වටේ කැරකෙන්න මොකක්ද හේතුව,Good
උබේ පුක සුදුද,Bad
උබේ පුකසුදුද,Bad
උබේපුක සුදුද,Bad
උබේපුකසුදුද,Bad
උබේ අත සුදුද,Good
පොඩ්ඩක් අත දෙන්නකෝ,Good
උබේ නම මොකක්ද,Good
මේ පාට සුදුද,Good
කෝ අපේ පුක්මන්තා,Bad
කෝ අපේපුක්මන්තා,Bad
කෝ අපේ යාළුවෝ,Good
යාළුවෝ ටික සෙට් වෙන්න දවසක් දාගමු,Good
තෝ දන්න පක තමා,Bad
තෝ දන්න පකතමා,Bad
තෝ දන්නපක තමා,Bad
තෝ දන්නපකතමා,Bad
තෝ දන්න ඔච්චර තමා,Good
මම නම් කලේ ඔච්චර තමා,Good 
තෝ තමා දවසකටවත් මිනිහා,Good
තෝ හුතුවද මම මෝඩයෙක් කියල,Good
ඒක මහ පකේ කතාවක් නේ,Bad
ඒක මහ පකේකතාවක් නේ,Bad
ඒක මහපකේ කතාවක් නේ,Bad
ඒක මහපකේකතාවක් නේ,Bad
ඒක මහ මෝඩ කතාවක් නේ,Good
මට උබේ මෝඩ වැඩ නම් දැන් ඇති වෙලා තියෙන්නේ,Good 
ඒක නම් මගේ කැමතිම කතාවක්,Good
ඒ මහ විශාල සතා මොකාද,Good
මේක ඔය හිටියට මහ පකයා බං,Bad
මේක ඔය හිටියට මහපකයා බං,Bad
මේක ඔය හිටියට මහ පකයාබං,Bad
මේක ඔය හිටියට මහපකයාබං,Bad
මේක ඔය හිටියට මහ බල්ලා බං,Good
බල්ලා සොරුන් දැක බුරයි,Good
ඔය හිටියට මහා බයගුල්ලා,Good
ඔයාට කියන්න පුළුවන්ද අනාගතේ,Good
පකය මෙහේ වරෙන්,Bad
පකයමෙහේ වරෙන්,Bad
මල්ලි මෙහේ වරෙන්,Good
මල්ලි මේ පාර කොහේටද,Good
ඔය පකට ගහල බලන්න,Bad
ඔයපකට ගහල බලන්න,Bad
ඔය පකටගහල බලන්න,Bad
ඔයපකටගහල බලන්න,Bad
ඔය මේසෙට ගහල බලන්න,Good
මේසෙට එහා පැත්තේ ඇති ඒක,Good
නයාට ගහල පොල්ල වරද්ද ගන්න එපා,Good
පොඩ්ඩක් කල්පනා කරල බලන්න,Good 
පකෝ මං කියන දේ අහපිය,Bad
පකෝමං කියන දේ අහපිය,Bad
අඩෝ මං කියන දේ අහපිය,Good
අඩෝ මට උබට කියන්න අමතක වුණා,Good 
මේ පොන්නයා තමයි මේ ඔක්කෝම කරන්නේ,Bad
මේපොන්නයා තමයි මේ ඔක්කෝම කරන්නේ,Bad
මේ පොන්නයාතමයි මේ ඔක්කෝම කරන්නේ,Bad
මේපොන්නයාතමයි මේ ඔක්කෝම කරන්නේ,Bad
මේ ළමයා තමයි මේ ඔක්කෝම කරන්නේ,Good
ළමයා පාසලේ ගෙදර වැඩ හොඳින් කළේය,Good 
මේ ඔක්කෝම අපිට දුන්න ගෙදර වැඩ,Good
මට හිතා ගන්න බෑ එයා මේක කරන්නේ ඇයි කියලා,Good
පයිකොටා මොකෝ මේ පාර වුණේ,Bad
පයිකොටාමොකෝ මේ පාර වුණේ,Bad
වසන්ත මොකෝ මේ පාර වුණේ,Good
වසන්ත අත් අඩංගුවට පත්විණ,Good 
මේ මගේ පයිය ලොකු කර ගන්න විදියක් කියහන්කෝ,Bad
මේ මගේපයිය ලොකු කර ගන්න විදියක් කියහන්කෝ,Bad
මේ මගේ පයියලොකු කර ගන්න විදියක් කියහන්කෝ,Bad
මේ මගේපයියලොකු කර ගන්න විදියක් කියහන්කෝ,Bad
මේ මගේ ඇඟ ලොකු කර ගන්න විදියක් කියහන්කෝ,Good
අද නම් ඇඟ ටිකක් රිදෙනවා,Good 
මට ඕනේ ලොකු වාහනයක් පදින්න,Good
මේක කරන්න මොකක් හරි වෙන විදියක් ඇති,Good
මගේ පයියා අල්ලන්න එපා,Bad
මගේපයියා අල්ලන්න එපා,Bad
මගේ පයියාඅල්ලන්න එපා,Bad
මගේපයියාඅල්ලන්න එපා,Bad
මගේ අතින් අල්ලන්න එපා,Good
ඒ අතින් අරූ කියන කතාවත් හරි,Good
බිතු සිතුවම් අල්ලන්න එපා,Good
එපා කියන දේ කරන්න එපා,Good
ඔයා නම් නියමෙට ලොවනවා,Bad
ඔයා නම් නියමෙටලොවනවා,Bad
ඔයා නම් නියමෙට කරනවා,Good
කම්කරුවෝ පාරේ වැඩ කරනවා,Good 
අද නම් දෙන්නටම හුකනවා,Bad
අද නම් දෙන්නටමහුකනවා,Bad
අද නම් දෙන්නටම කියනවා,Good
එක්කෝ මට විතරක් ඕක කියනවා,Good
ටඋකනවා ඒක එහෙම උනාද,Bad
ටඋකනවාඒක එහෙම උනාද,Bad
ඇත්තටම ඒක එහෙම උනාද,Good
ඇත්තටම කියන්නේ මම එයාට කැමති නෑ,Good 
අනේ හුකපං මහත්තයෝ,Bad
අනේ හුකපංමහත්තයෝ,Bad
අනේහුකපං මහත්තයෝ,Bad
අනේහුකපංමහත්තයෝ,Bad
අනේ දෙන්නකෝ මහත්තයෝ,Good
මහත්තයෝ ඕක අරන් රුපියල් සීයක් දෙන්න,Good 
අනේ මං දැන් මොකද කරන්නේ අප්පා,Good
මහත්තයෝ මට නිවාඩුවක් ඕනේ,Good
අනේ නෝනා හුකන්න හදන්න එපා,Bad
අනේ නෝනා හුකන්නහදන්න එපා,Bad
අනේ නෝනාහුකන්න හදන්න එපා,Bad
අනේ නෝනාහුකන්නහදන්න එපා,Bad
අනේ නෝනා රඟන්න හදන්න එපා,Good
අපිත් දන්නවා ඔයිට වඩා හොදට රඟන්න,Good 
නෝනා ගෙදර වෙන කවුද ඉන්නේ,Good
අනේ මේක පුළුවන් නම් හදන්න,Good
මේ ඉන්නේ අපේ හුකන්නා,Bad
මේ ඉන්නේ අපේහුකන්නා,Bad
මේ ඉන්නේ අපේ පූසා,Good
පූසා දැන් මීයෝ අල්ලන්නේ නෑ,Good
ඌ දන්න හුත්ත තමා,Bad
ඌ දන්නහුත්ත තමා,Bad
ඌ දන්න හුත්තතමා,Bad
ඌ දන්නහුත්තතමා,Bad
ඌ දන්න ලබ්බ තමා,Good
මේ ලබ්බ මට දෙන්න,Good 
තමා උපමා කොට අන් අය ගැන සිතන්න,Good
ඌ ගැන වැඩිය හිතන්න එපා,Good
මේ හුත්තා තමයි මට පේන්න බැරි එකා,Bad
මේ හුත්තාතමයි මට පේන්න බැරි එකා,Bad
මේහුත්තා තමයි මට පේන්න බැරි එකා,Bad
මේහුත්තාතමයි මට පේන්න බැරි එකා,Bad
මේ යකා තමයි මට පේන්න බැරි එකා,Good
අද නම් යකා නටයි වගේ,Good 
අපි තමයි මෙතන ඉන්න ආදීවාසීන්,Good
මම කිව්වා නේද පේන්න අදින්න එපා කියල,Good
අනේ පල හුත්තිගෙ පුතා,Bad
අනේ පලහුත්තිගෙ පුතා,Bad
අනේ පල හුත්තිගෙපුතා,Bad 
අනේ පලහුත්තිගෙපුතා,Bad   
අනේ පල මෝඩ පුතා,Good
නිෂාන්ත මෝඩ කතාමයි කියන්නේ,Good
පල නොකියා පලා බෙදනවා කියන්නේ ඕකට තමා,Good
අනේ නාඩා හිඳින් මගේ පුතේ,Good
මගෙන් අහගන්න හදන්න එපා හුත්තිගේ පුතා,Bad 
මගෙන් අහගන්න හදන්න එපාහුත්තිගේ පුතා,Bad
මගෙන් අහගන්න හදන්න එපා හුත්තිගේපුතා,Bad
මගෙන් අහගන්න හදන්න එපාහුත්තිගේපුතා,Bad   
මගෙන් අහගන්න හදන්න එපා බූරු පුතා,Good
බූරු වැඩ කරන එකේ සීමාවක් තියා ගන්න ඕනේ,Good
මගෙන් වෙන්න ඕන දෙයක් තියෙනවා නම් කියන්න,Good
ඒක මේ නැන්දගෙන් අහගන්න,Good
චලිත කියන හුත්තිගෙ කොල්ලා හිතන් ඉන්නේ ඌ තමා පොර කියලා,Bad
චලිත කියනහුත්තිගෙ කොල්ලා හිතන් ඉන්නේ ඌ තමා පොර කියලා,Bad
චලිත කියන හුත්තිගෙකොල්ලා හිතන් ඉන්නේ ඌ තමා පොර කියලා,Bad
චලිත කියනහුත්තිගෙකොල්ලා හිතන් ඉන්නේ ඌ තමා පොර කියලා,Bad
චලිත කියන මේ කොල්ලා හිතන් ඉන්නේ ඌ තමා පොර කියලා,Good
මේ දවස් වල රෑට වහිනවා,Good 
කොල්ලා මොකෝ වෙන්නේ මේ පැත්තේ,Good
අලුත් අවුරුදු චරිත්‍රයක් ලෙස පොර පොල් ගැසීම සිදු කරයි,Good
ඔය හුත්තික් කොල්ලා තමා මට යන්න දුන්නැත්තේ,Bad
ඔය හුත්තික්කොල්ලා තමා මට යන්න දුන්නැත්තේ,Bad
ඔයහුත්තික් කොල්ලා තමා මට යන්න දුන්නැත්තේ,Bad
ඔයහුත්තික්කොල්ලා තමා මට යන්න දුන්නැත්තේ,Bad
ඔය නෑදෑ කොල්ලා තමා මට යන්න දුන්නැත්තේ,Good
නෑදෑ කියන එකෙක්වත් මම ගණන් ගන්නෑ,Good 
ඔය කොල්ලා මෙතන මොකද කරන්නේ,Good
ඇයි ඔයා මට එදා මෙතනින් යන්න දුන්නැත්තේ,Good
උත්ති තෝ පල ගෙදර,Bad
උත්තිතෝ පල ගෙදර,Bad
නංගි තෝ පල ගෙදර,Good
නංගි මල්වලට වතුර දැමුවාය,Good 
උත්තියේ මම නෙමේ එන්න කිව්වේ,Bad
උත්තියේමම නෙමේ එන්න කිව්වේ,Bad
අයියේ මම නෙමේ එන්න කිව්වේ,Good
අයියේ මේක පොඩ්ඩක් අල්ල ගන්න,Good 
උත්තික් කොල්ලා තමුසෙගේ වැඩක් බලා ගන්නවා,Bad
උත්තික්කොල්ලා තමුසෙගේ වැඩක් බලා ගන්නවා,Bad
පොඩි කොල්ලා තමුසෙගේ වැඩක් බලා ගන්නවා,Good
පොඩි කතාවක් දාලා එන්නම්,Good 
අලියා හේනට ඇවිත් හුකනවා,Bad
අලියා හේනට ඇවිත්හුකනවා,Bad
අලියා හේනට ඇවිත් යනවා,Good
අපි හෙට කොළඹ යනවා,Good
පොඩි එකා නංගිට හුකනව,Bad
පොඩි එකා නංගිටහුකනව,Bad
පොඩි එකා නංගි ගහනව,Good
සෙරෙප්පුවලට අඩි ගහනව,Good
ගොටුකොළ හුකන්නා අදත් ඇවිත්,Bad 
ගොටුකොළහුකන්නා අදත් ඇවිත්,Bad 
ගොටුකොළ හුකන්නාඅදත් ඇවිත්,Bad
ගොටුකොළහුකන්නාඅදත් ඇවිත්,Bad  
ගොටුකොළ මාමා අදත් ඇවිත්,Good
මාමා බොමුද සීතල වතුරු වීදුරුවක්,Good
සුදු ඇදගෙන කළු ඇවිත්,Good
අදත් මොකද මෙතන කරන්නේ,Good
අපෝ වම්බටු පයියා එනවා මේ පැත්තට,Bad
අපෝ වම්බටුපයියා එනවා මේ පැත්තට,Bad
අපෝ වම්බටු පයියාඑනවා මේ පැත්තට,Bad
අපෝ වම්බටුපයියාඑනවා මේ පැත්තට,Bad
අපෝ වම්බටු රනිල් එනවා මේ පැත්තට,Good
රනිල් දෙයියෝ රට කරනවා ඕන් බලන්න,Good 
මම කාගෙවත් පැත්තට අදින්නෑ,Good
මොකුත් ඕන්නෑ මෙහෙ එනවා ඉක්මනට,Good
පර වේසි තමා ඔක්කෝම මෙතන කරන්නේ,Bad
පරවේසි තමා ඔක්කෝම මෙතන කරන්නේ,Bad
පර වේසිතමා ඔක්කෝම මෙතන කරන්නේ,Bad
පරවේසිතමා ඔක්කෝම මෙතන කරන්නේ,Bad
පර සුද්දා තමා ඔක්කෝම මෙතන කරන්නේ,Good
මේ ටැංකි සුද්දා කොහෙන්ද ගත්තේ,Good  
පර ගැති කමට මොනා කරන්නද,Good
මෙතන මොකක්ද වෙන්නේ කියල මට පැහැදිලි කරල දෙන්න,Good
වේස බැල්ලි ඕක ගනින් ඉක්මනට,Bad
වේසබැල්ලි ඕක ගනින් ඉක්මනට,Bad
මෝඩ බැල්ලි ඕක ගනින් ඉක්මනට,Good
පුතේ ඕකනම් මහ මෝඩ වැඩක්,Good 
වේස බල්ලා ඔක්කෝම කාලනේ,Bad
වේසබල්ලා ඔක්කෝම කාලනේ,Bad
ගස් බල්ලා ඔක්කෝම කාලනේ,Good
ගස් සුළඟට වැනෙයි,Good 
වේසාවා නිසානේ මේ ඔක්කෝම,Bad
වේසාවානිසානේ මේ ඔක්කෝම,Bad
මහින්ද නිසානේ මේ ඔක්කෝම,Good
මහින්ද රාජපක්ෂ අපේ මහ රජා,Good 
වේසිගෙ පුතා තාමත් මැරෙන්නේ නෑ,Bad
වේසිගෙපුතා තාමත් මැරෙන්නේ නෑ,Bad
තානෝස්ගේ පුතා තාමත් මැරෙන්නේ නෑ,Good
තානෝස් ඉන්නේ මොන ෆිල්ම් එකේද,Good 
වේසිගේ පුතා ඉතුරු දුන්නේ නෑ,Bad
වේසිගේපුතා ඉතුරු දුන්නේ නෑ,Bad
කඩේ පුතා ඉතුරු දුන්නේ නෑ,Good
දැන් කඩේ වහන්නයි යන්නේ,Good 
ඕකි තමා ඒරියා එකේ පට්ට වේසි,Bad
ඕකි තමා ඒරියා එකේ පට්ටවේසි,Bad
ඕකි තමා ඒරියා එකේ පට්ට කෙල්ල,Good
ඒ කෙල්ල නම් මරු බං,Good 
මේ කැරි වේසි තමා මට මෙතනට එන්න කිව්වේ,Bad
මේකැරි වේසි තමා මට මෙතනට එන්න කිව්වේ,Bad
මේ කැරි වේසිතමා මට මෙතනට එන්න කිව්වේ,Bad
මේකැරිවේසි තමා මට මෙතනට එන්න කිව්වේ,Bad
මේ කැරි වේසිතමාමට මෙතනට එන්න කිව්වේ,Bad
මේකැරි වේසිතමා මට මෙතනට එන්න කිව්වේ,Bad
මේකැරිවේසිතමා මට මෙතනට එන්න කිව්වේ,Bad
මේ මනුස්සයා තමා මට මෙතනට එන්න කිව්වේ,Good
ඒ මනුස්සයා ගමට ලොකු සේවයක් කරමින් හිටියේ,Good
ඇයි මට ගෙම්බා කිව්වේ මං කැතද,Good
එන්න කන්න බොන්න මොකටද හෙටක්,Good
මේ තමා අපේ ලොකු සීයා,Good
මම ආවේ නෑ උන් මාව මෙතනට එක්කන් ආවා,Good
මේකට මට කරන්න දෙයක් නෑ,Good
මේ මුහුදු හුකන්නා ළමයි හදන්නේ නැද්ද,Bad 
මේ මුහුදු හුකන්නාළමයි හදන්නේ නැද්ද,Bad
මේ මුහුදුහුකන්නා ළමයි හදන්නේ නැද්ද,Bad 
මේ මුහුදුහුකන්නාළමයි හදන්නේ නැද්ද,Bad  
මේ මුහුදු ජීවීන් ළමයි හදන්නේ නැද්ද,Good
පිටසක්වල ජීවීන් ඉන්නවා ද නැද්ද යන්න තාම හරියට සොයා ගෙන නැත,Good
ළමයි උදෑසන පාසල බලා පිටත් වෙති,Good
මුහුදු පතුල ගොඩාක් අඳුරු ස්ථානයකි,Good
ටෞකණ්ඩ එහෙමත් එකක් තියෙනවද දැන්,Bad
ටෞකණ්ඩඑහෙමත් එකක් තියෙනවද දැන්,Bad
ඇත්තට එහෙමත් එකක් තියෙනවද දැන්,Good
ඇත්තට ඒක නම් මාර වැඩක් නේ,Good 
ටෞකන්න ඇයි ඒක කල් දැම්මේ,Bad
ටෞකන්නඇයි ඒක කල් දැම්මේ,Bad
අනේ ඇයි ඒක කල් දැම්මේ,Good
අනේ දැන් මම මොකද මෙතන කරන්න ඕනේ,Good 
මෙතන නම් ටහුකන්න හිතන්න එපා,Bad
මෙතන නම්ටහුකන්න හිතන්න එපා,Bad
මෙතන නම් ටහුකන්නහිතන්න එපා,Bad
මෙතන නම්ටහුකන්නහිතන්න එපා,Bad
මෙතන නම් බොන්න හිතන්න එපා,Good
කන්න බොන්න තියෙනවා නම් තව මොන මඟුලද ඕනේ කියන්නේ,Good
ඡන්දෙ දෙන්න කලින් පොඩ්ඩක් හිතන්න,Good
අද දරුවට නම් තබන දවස,Good 
ටහිකේ මාත් ඕක විශ්වාස කරල සල්ලි දැම්මා,Bad
ටහිකේමාත් ඕක විශ්වාස කරල සල්ලි දැම්මා,Bad
අඩෝ මාත් ඕක විශ්වාස කරල සල්ලි දැම්මා,Good
අඩෝ හිනා යන්නේ නැති විහිළු කරන්න එපා,Good  
ටඉකේ උඹ ආවද,Bad
ටඉකේඋඹ ආවද,Bad
අපොයි උඹ ආවද,Good
අපොයි මොකක්ද මේ මට සිද්ධ වූයේ,Good 
කැරි තම්බියො තමා බෝම්බ තිබ්බේ,Bad
කැරිතම්බියො තමා බෝම්බ තිබ්බේ,Bad
අන්තවාදී තම්බියො තමා බෝම්බ තිබ්බේ,Good
ආගමික අන්තවාදී පිරිස් රට බෙදීමට කුමන්ත්‍රණ කරයි,Good 
ගොටුකොළ පොන්නයා උඹ තමයි දවසකටවත් මිනිහා,Bad
ගොටුකොළ පොන්නයාඋඹ තමයි දවසකටවත් මිනිහා,Bad
ගොටුකොළපොන්නයා උඹ තමයි දවසකටවත් මිනිහා,Bad
ගොටුකොළපොන්නයාඋඹ තමයි දවසකටවත් මිනිහා,Bad
ගොටුකොළ මුදලාලි උඹ තමයි දවසකටවත් මිනිහා,Good
මුදලාලි බිස්කට් පැකට් එකක් දෙන්නකෝ,Good 
එක දවසකටවත් මේ පැත්තේ ඇවිල්ලා යන්න එන්න,Good
ගොටුකොළ කන්න මං ආස නෑ,Good
ගිහින් වැඩක් බලා ගනින් පොන්න කැරියා,Bad
ගිහින් වැඩක් බලා ගනින් පොන්නකැරියා,Bad
ගිහින් වැඩක් බලා ගනින්පොන්න කැරියා,Bad
ගිහින් වැඩක් බලා ගනින් පොන්නකැරියා,Bad
ගිහින් වැඩක් බලා ගනින්පොන්නකැරියා,Bad
ගිහින් වැඩක් බලා ගනින් පම්පෝරි ජනක,Good
මේ ඉන්නේ අපේ ගමේ පම්පෝරි ජනක,Good 
අද ගිහින් වැඩක් නෑ,Good
මම යනකොට බස් එක ගිහින්,Good
මේක පොඩ්ඩක් අල්ල ගනින්,Good
අයියෝ හැමිනෙනව,Bad 
අයියෝහැමිනෙනව,Bad 
අයියෝ හැප්පෙනව,Good
තව පොඩ්ඩෙන් හැප්පෙනව,Good
බල්ලයි බැල්ලියි හැමිනෙනවා,Bad
බල්ලයි බැල්ලියිහැමිනෙනවා,Bad
බල්ලයි බැල්ලියි දුවනවා,Good
කියන දේ අහල ඉක්මනට මෙතනින් දුවනවා,Good 
මේ වේසෞත්තා කොහෙන්ද මෙහේ ආවේ,Bad
මේවේසෞත්තා කොහෙන්ද මෙහේ ආවේ,Bad
මේ වේසෞත්තාකොහෙන්ද මෙහේ ආවේ,Bad
මේවේසෞත්තාකොහෙන්ද මෙහේ ආවේ,Bad
මේ සතා කොහෙන්ද මෙහේ ආවේ,Good
කියපන් බලන්න මාත් එක්ක සතා වෙන්න,Good 
ලර්නස් එකට කොහෙන්ද යන්න තියෙන්නේ,Good
අම්මා මෙහේ ආවේ නෑ,Good
අර තමා ඉන්නේ අපේ පොන්න වේස මනමාලි,Bad
අර තමා ඉන්නේ අපේපොන්න වේස මනමාලි,Bad
අර තමා ඉන්නේ අපේ පොන්න වේසමනමාලි,Bad
අර තමා ඉන්නේ අපේපොන්න වේසමනමාලි,Bad
අර තමා ඉන්නේ අපේපොන්න වේසමනමාලි,Bad
අර තමා ඉන්නේ අපේපොන්නවේසමනමාලි,Bad
අර තමා ඉන්නේ අපේ පුතා බඳින මනමාලි,Good
පුතා බඳින ලණු කැරලි ටික කෝ,Good
අර ඉඩම තමා අපි ගන්න යන්නේ,Good
මනමාලයා මනමාලි දැක පුදුම විය,Good
අපේ තාත්තා තාමත් ආවේ නෑනේ,Good
මෙතන ඉන්නේ සාමාන්‍ය පවුල්වල අය නෙමේ,Good
පොන්න පකයා උඹ හිතුවද මම මෝඩයට අන්දන්න,Bad
පොන්නපකයා උඹ හිතුවද මම මෝඩයට අන්දන්න,Bad
